name,team,kills,deaths,attacker_x,attacker_y,attacker_z,attacker_flash,attacker_alive,attacker_scoped,attacker_speed,attacker_isbot,attacker_pitch,attacker_yaw,attacker_ducked,victim_name,victim_team,victim_kills,victim_deaths,victim_x,victim_y,victim_z,victim_flash,victim_alive,victim_scoped,victim_speed,victim_isbot,victim_pitch,victim_yaw,victim_ducked,isWallbang,isHeadshot,isNoScope,isHacker
Oggy,2,2,4,-569.0579223632812,2013.81201171875,-117.35385131835938,0,true,false,0,false,0.758056640625,8.382568359375,0,Ezio™,3,4,2,-1.3893649578094482,2101.853271484375,-62.47161102294922,0,false,false,225.00000694947786,false,0.758056640625,213.3489990234375,0,0,1,0,0
Ketchup,3,5,3,-2084.4345703125,1996.26513671875,2.924700975418091,0,true,false,8.593749635143183,false,356.8524169921875,283.1451416015625,0,Oggy,2,3,4,-1953.510498046875,1377.11376953125,94.27360534667969,0,false,false,199.4073058117776,false,6.2347412109375,84.26513671875,0,0,0,0,0
-Cactus^ 🌹,2,0,5,-412.8235778808594,1618.7537841796875,-126.34247589111328,0,true,false,0,false,4.4110107421875,111.082763671875,1,D E X,3,4,3,-501.90985107421875,1855.310791015625,-58.359039306640625,0,false,false,63.88374792829449,false,11.458740234375,280.2996826171875,0,0,0,0,0
StevieG!,3,4,4,-1616.3878173828125,1641.34326171875,2.2757339477539062,0,true,false,0,false,354.342041015625,76.70654296875,0,-Cactus^ 🌹,2,1,5,-1357.4222412109375,2683.9697265625,176.03125,0,false,false,0,false,13.3868408203125,165.5859375,0,0,1,0,0
Ezio™,3,4,3,797.4860229492188,2618.048828125,94.93115234375,0,true,false,0,false,3.44970703125,241.54541015625,0,Braindead,2,4,3,341.0846252441406,1763.44384765625,150.6945037841797,0,false,false,0,false,0.32958984375,62.0452880859375,1,0,0,0,0
Mackenzie,3,2,4,1218.7509765625,2254.774658203125,9.906536102294922,0,true,false,0,false,0.3680419921875,285.4083251953125,1,<<<BaHuMiKe>>>,2,2,5,1518.078857421875,1172.17431640625,61.465267181396484,0,false,false,76.4352226629042,false,0.3076171875,104.996337890625,0,0,0,0,0
{JoK3R  },2,7,3,-2007.3272705078125,1708.3919677734375,32.24634552001953,0,true,false,0,false,354.6990966796875,64.281005859375,0,Ketchup,3,6,3,-1530.3277587890625,2789.6328125,194.29217529296875,0,false,false,316.1380236184242,false,7.5970458984375,237.2552490234375,0,0,0,0,0
{JoK3R  },2,8,3,-1777.8209228515625,2141.791259765625,-2.1942214965820312,0,true,false,0,false,6.383056640625,284.7491455078125,1,StevieG!,3,5,4,-1625.1923828125,1640.2073974609375,66.30193328857422,0,false,false,22.556234406042947,false,6.17431640625,107.90771484375,0,0,0,0,0
Mackenzie,3,2,4,604.9376220703125,2121.582763671875,-92.73632049560547,0,true,false,10.687500552528743,false,357.659912109375,177.78076171875,1,{JoK3R  },2,9,3,-1732.1470947265625,2199.7744140625,62.20127487182617,0,false,false,184.3138021222321,false,9.86572265625,63.9459228515625,0,1,0,0,0
Oggy,2,3,5,-569.9727783203125,2054.119873046875,-117.70362091064453,0,true,false,0,false,1.1865234375,4.0869140625,0,Mackenzie,3,3,4,573.26123046875,2132.485107421875,-0.40113067626953125,0,false,false,82.73636479561264,false,5.1251220703125,198.424072265625,0,0,0,0,0
Ezio™,3,5,3,-434.5785827636719,1969.0611572265625,-125.85491180419922,0,true,false,0,false,347.6788330078125,138.262939453125,0,Oggy,2,4,5,-1228.4232177734375,2675.87744140625,185.10459899902344,0,false,false,86.46343357165277,false,17.4627685546875,218.551025390625,0,0,0,0,0
Ezio™,3,7,3,-1894.3760986328125,2540.583984375,32.82238006591797,0,true,false,0,false,6.240234375,263.243408203125,0,Braindead,2,4,5,-1995.9730224609375,1632.2442626953125,86.52677917480469,0,false,false,0,false,2.8399658203125,84.8309326171875,1,0,0,0,0
StevieG!,3,5,5,-569.96875,1765.732177734375,-116.45730590820312,0,true,false,0,false,10.865478515625,316.47216796875,1,-Cactus^ 🌹,2,1,6,-417.5122375488281,1618.2962646484375,-80.06784057617188,0,false,false,0,false,5.0592041015625,131.1383056640625,0,0,0,0,0
StevieG!,3,6,5,-279.6037902832031,1516.96875,-124.90545654296875,0,true,false,0,false,1.3677978515625,190.7720947265625,1,Oggy,2,4,6,-1108.00244140625,1346.6663818359375,-47.884498596191406,0,false,false,0,false,8.8275146484375,11.5081787109375,0,0,0,0,0
<<<BaHuMiKe>>>,2,3,5,-181.25765991210938,1174.6884765625,-0.5293731689453125,0,true,true,0,false,10.3436279296875,120.1629638671875,0,Mackenzie,3,3,6,-554.9918823242188,1826.4339599609375,-55.373435974121094,0,false,false,0,false,352.056884765625,299.805908203125,0,0,0,0,0
<<<BaHuMiKe>>>,2,3,5,-176.67100524902344,1246.15478515625,0.2814483642578125,0,true,true,31.98524418120077,false,16.2158203125,135.4559326171875,0,StevieG!,3,7,5,-489.96875,1570.5333251953125,-59.64753723144531,0,false,false,45.00780695191535,false,347.0745849609375,318.4991455078125,0,0,0,0,0
